Title,Price,Link
A Light in the Attic,�51.77,https://books.toscrape.com/index.html
Tipping the Velvet,�53.74,https://books.toscrape.com/index.html
Soumission,�50.10,https://books.toscrape.com/catalogue/category/books_1/index.html
Sharp Objects,�47.82,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
Sapiens: A Brief History of Bilalkind,�54.23,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Requiem Red,�22.65,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Dirty Little Secrets of Getting Your Dream Job,�33.34,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",�17.93,https://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,�22.60,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
The Black Maria,�52.15,https://books.toscrape.com/catalogue/category/books/romance_8/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",�13.99,https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
Shakespeare's Sonnets,�20.66,https://books.toscrape.com/catalogue/category/books/fiction_10/index.html
Set Me Free,�17.46,https://books.toscrape.com/catalogue/category/books/childrens_11/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),�52.29,https://books.toscrape.com/catalogue/category/books/religion_12/index.html
Rip it Up and Start Again,�35.02,https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",�57.25,https://books.toscrape.com/catalogue/category/books/music_14/index.html
Olio,�23.88,https://books.toscrape.com/catalogue/category/books/default_15/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,�37.59,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
Libertarianism for Beginners,�51.33,https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
It's Only the Himalayas,�45.17,https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
